Date,Open,High,Low,Close,Volume
1891-09-30,5.18,5.95,4.99,5.74
1891-12-31,5.64,5.95,5.48,5.92
1892-03-31,5.96,6.15,5.75,5.91
1892-06-30,5.86,6.08,5.71,5.83
1892-09-30,5.83,5.93,5.52,5.65
1892-12-31,5.65,5.83,5.43,5.53
1893-03-31,5.49,5.75,5.1,5.3
1893-06-30,5.34,5.38,4.45,4.51
1893-09-30,4.54,4.54,3.53,4.25
1893-12-31,4.22,4.7,4.12,4.17
1894-03-31,4.12,4.61,4.12,4.61
1894-06-30,4.58,4.65,4.22,4.25
1894-09-30,4.24,4.68,4.18,4.35
1894-12-31,4.3,4.45,4.14,4.15
1895-03-31,4.1,4.26,3.96,4.26
1895-06-30,4.24,4.8,4.19,4.69
1895-09-30,4.72,5.18,4.69,4.99
1895-12-31,5.02,5.05,3.94,4.24
1896-03-31,4.21,4.61,3.99,4.39
1896-06-30,4.37,4.56,4.04,4.09
1896-09-30,3.96,4.08,3.29,4.01
1896-12-31,4.01,4.66,3.82,4.22
1897-03-31,4.26,4.46,4.09,4.11
1897-06-30,4.14,4.6,3.98,4.53
1897-09-30,4.56,5.62,4.5,5.19
1897-12-31,5.23,5.34,4.74,5.14
1898-03-31,5.11,5.39,4.54,4.86
1898-06-30,4.72,5.55,4.58,5.41
1898-09-30,5.44,5.96,5.35,5.49
1898-12-31,5.45,6.22,5.41,6.22
1899-03-31,6.22,7.33,6.22,7.31
1899-06-30,7.38,7.41,6.6,7.01
1899-09-30,7.05,7.38,6.91,6.97
1899-12-31,6.82,7.26,6.02,6.56
1900-03-31,6.69,6.82,6.37,6.82
1900-06-30,6.79,6.85,5.88,6.01
1900-09-30,6.07,6.34,5.9,6.03
1900-12-31,6.09,7.68,6.07,7.68
1901-03-31,7.66,8.21,7.4,8.21
1901-06-30,8.27,9.2,8.04,9.16
1901-09-30,9.03,9.03,8.14,8.28
1901-12-31,8.26,8.65,8.07,8.58
1902-03-31,8.63,8.77,8.34,8.74
1902-06-30,8.72,9.06,8.72,8.88
1902-09-30,8.9,9.48,8.88,9.19
1902-12-31,9.19,9.19,8.32,8.8
1903-03-31,8.83,9,8.19,8.28
1903-06-30,8.28,8.34,7.46,7.78
1903-09-30,7.79,7.79,6.47,6.55
1903-12-31,6.69,7.18,6.42,7.14
1904-03-31,6.97,7.25,6.66,7.04
1904-06-30,7.01,7.13,6.82,7.09
1904-09-30,7.11,8.01,7.11,8.01
1904-12-31,8.04,9.13,8.04,8.9
1905-03-31,8.98,9.73,8.86,9.66
1905-06-30,9.69,9.91,8.79,9.43
1905-09-30,9.49,10.16,9.49,10.12
1905-12-31,10.13,10.7,9.86,10.67
1906-03-31,10.63,11.18,10.3,10.67
1906-06-30,10.72,10.72,9.62,9.81
1906-09-30,9.69,10.93,9.69,10.78
1906-12-31,10.86,10.94,10.29,10.42
